_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
9522,2,Sunnyside Beach,23W,2016-07-01,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9523,2,Sunnyside Beach,17W,2016-07-01,190,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9524,2,Sunnyside Beach,18W,2016-07-01,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9525,2,Sunnyside Beach,22W,2016-07-01,330,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9526,2,Sunnyside Beach,19W,2016-07-01,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9527,2,Sunnyside Beach,20W,2016-07-01,129,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9528,2,Sunnyside Beach,21W,2016-07-01,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9529,1,Marie Curtis Park East Beach,29W,2016-06-30,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9530,1,Marie Curtis Park East Beach,33W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9531,1,Marie Curtis Park East Beach,32W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9532,1,Marie Curtis Park East Beach,31W,2016-06-30,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9533,1,Marie Curtis Park East Beach,30W,2016-06-30,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9534,2,Sunnyside Beach,23W,2016-06-30,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9535,2,Sunnyside Beach,17W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9536,2,Sunnyside Beach,18W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9537,2,Sunnyside Beach,22W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9538,2,Sunnyside Beach,19W,2016-06-30,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9539,2,Sunnyside Beach,20W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9540,2,Sunnyside Beach,21W,2016-06-30,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9541,1,Marie Curtis Park East Beach,29W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9542,1,Marie Curtis Park East Beach,33W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9543,1,Marie Curtis Park East Beach,32W,2016-06-29,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9544,1,Marie Curtis Park East Beach,31W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9545,1,Marie Curtis Park East Beach,30W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9546,2,Sunnyside Beach,23W,2016-06-29,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9547,2,Sunnyside Beach,17W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9548,2,Sunnyside Beach,18W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
